x,y,z
0.0314359,-0.0319034,0
0.0586209,-0.048389,0
0.0820584,-0.0570773,0
0.10524,-0.0664371,0
0.127633,-0.0775546,0
0.149045,-0.0904605,0
0.169992,-0.104108,0
0.190786,-0.11799,0
0.211648,-0.13176,0
0.232303,-0.145847,0
0.252847,-0.160096,0
0.273379,-0.174359,0
0.293881,-0.188666,0
0.314163,-0.203281,0
0.334591,-0.217688,0
0.35527,-0.231736,0
0.375888,-0.245877,0
0.396499,-0.260028,0
0.41719,-0.27406,0
0.437845,-0.288147,0
0.458529,-0.302185,0
0.479196,-0.316248,0
0.49985,-0.330338,0
0.520523,-0.344397,0
0.541171,-0.35849,0
0.561856,-0.372534,0
0.58251,-0.386615,0
0.603183,-0.400672,0
0.623843,-0.414749,0
0.644491,-0.428849,0
0.665146,-0.442926,0
0.685788,-0.457032,0
0.706454,-0.471103,0
0.727096,-0.485202,0
0.747726,-0.499326,0
0.768374,-0.513425,0
0.789004,-0.527539,0
0.809652,-0.541638,0
0.830282,-0.555759,0
0.850924,-0.569864,0
0.871554,-0.583985,0
0.892178,-0.598114,0
0.912808,-0.612232,0
0.933438,-0.626352,0
0.954062,-0.640485,0
0.974685,-0.654615,0
0.995315,-0.668741,0
1.01593,-0.682886,0
1.03655,-0.697013,0
1.05718,-0.711139,0
1.07782,-0.725244,0
1.09847,-0.739334,0
1.11913,-0.753421,0
1.13979,-0.767493,0
1.16046,-0.781549,0
1.18114,-0.795606,0
1.20181,-0.809659,0
1.2225,-0.823694,0
1.24319,-0.837723,0
1.26388,-0.851764,0
1.28458,-0.865781,0
1.30528,-0.879801,0
1.32599,-0.893799,0
1.34671,-0.907785,0
1.36744,-0.921762,0
1.38818,-0.935724,0
1.40891,-0.949686,0
1.42967,-0.963629,0
1.45042,-0.977564,0
1.47119,-0.991489,0
1.49195,-1.00541,0
1.51272,-1.01932,0
1.5335,-1.03322,0
1.55428,-1.04712,0
1.57507,-1.06101,0
1.59586,-1.07489,0
1.61638,-1.08917,0
1.63706,-1.10323,0
1.65788,-1.11706,0
1.67866,-1.13096,0
1.67866,-1.13096,0
x,y,z
0.0314359,-0.0319034,0
0.0586209,-0.048389,0
0.0820584,-0.0570773,0
0.10524,-0.0664371,0
0.127633,-0.0775546,0
0.149045,-0.0904605,0
0.169992,-0.104108,0
0.190786,-0.11799,0
0.211648,-0.13176,0
0.232303,-0.145847,0
0.252847,-0.160096,0
0.273379,-0.174359,0
0.293881,-0.188666,0
0.314163,-0.203281,0
0.334591,-0.217688,0
0.35527,-0.231736,0
0.375888,-0.245877,0
0.396499,-0.260028,0
0.41719,-0.27406,0
0.437845,-0.288147,0
0.458529,-0.302185,0
0.479196,-0.316248,0
0.49985,-0.330338,0
0.520523,-0.344397,0
0.541171,-0.35849,0
0.561856,-0.372534,0
0.58251,-0.386615,0
0.603183,-0.400672,0
0.623843,-0.414749,0
0.644491,-0.428849,0
0.665146,-0.442926,0
0.685788,-0.457032,0
0.706454,-0.471103,0
0.727096,-0.485202,0
0.747726,-0.499326,0
0.768374,-0.513425,0
0.789004,-0.527539,0
0.809652,-0.541638,0
0.830282,-0.555759,0
0.850924,-0.569864,0
0.871554,-0.583985,0
0.892178,-0.598114,0
0.912808,-0.612232,0
0.933438,-0.626352,0
0.954062,-0.640485,0
0.974685,-0.654615,0
0.995315,-0.668741,0
1.01593,-0.682886,0
1.03655,-0.697013,0
1.05718,-0.711139,0
1.07782,-0.725244,0
1.09847,-0.739334,0
1.11913,-0.753421,0
1.13979,-0.767493,0
1.16046,-0.781549,0
1.18114,-0.795606,0
1.20181,-0.809659,0
1.2225,-0.823694,0
1.24319,-0.837723,0
1.26388,-0.851764,0
1.28458,-0.865781,0
1.30528,-0.879801,0
1.32599,-0.893799,0
1.34671,-0.907785,0
1.36744,-0.921762,0
1.38818,-0.935724,0
1.40891,-0.949686,0
1.42967,-0.963629,0
1.45042,-0.977564,0
1.47119,-0.991489,0
1.49195,-1.00541,0
1.51272,-1.01932,0
1.5335,-1.03322,0
1.55428,-1.04712,0
1.57507,-1.06101,0
1.59586,-1.07489,0
1.61638,-1.08917,0
1.63706,-1.10323,0
1.65788,-1.11706,0
1.67866,-1.13096,0
1.67866,-1.13096,0
