x,y,z
0.00807161,-0.004877,0
0.0347989,8.2109e-05,0
0.0593656,-0.00456572,0
0.0833707,-0.011542,0
0.106888,-0.0200229,0
0.129025,-0.031644,0
0.149099,-0.0465426,0
0.169265,-0.0613193,0
0.189444,-0.0760776,0
0.209781,-0.0906222,0
0.230032,-0.105283,0
0.25043,-0.119736,0
0.270773,-0.134265,0
0.291055,-0.148877,0
0.311422,-0.163382,0
0.331753,-0.177924,0
0.352133,-0.192408,0
0.37247,-0.206943,0
0.392795,-0.2215,0
0.41315,-0.236014,0
0.433474,-0.250574,0
0.453817,-0.265103,0
0.474148,-0.279651,0
0.494467,-0.29422,0
0.514779,-0.308792,0
0.535098,-0.323355,0
0.555435,-0.337897,0
0.575766,-0.352445,0
0.596103,-0.366986,0
0.616458,-0.381501,0
0.636807,-0.396024,0
0.657174,-0.41052,0
0.677542,-0.425016,0
0.697903,-0.439521,0
0.718277,-0.45401,0
0.73865,-0.4685,0
0.759042,-0.482965,0
0.779422,-0.497446,0
0.799795,-0.51193,0
0.820187,-0.526392,0
0.840573,-0.540866,0
0.860971,-0.555323,0
0.881363,-0.569782,0
0.901767,-0.584226,0
0.922165,-0.598682,0
0.942563,-0.613141,0
0.962967,-0.627582,0
0.983365,-0.642035,0
1.00377,-0.656473,0
1.02418,-0.670914,0
1.04458,-0.685364,0
1.06499,-0.699802,0
1.0854,-0.714246,0
1.10581,-0.728675,0
1.12622,-0.743112,0
1.14663,-0.75755,0
1.16705,-0.771982,0
1.18746,-0.786414,0
1.20788,-0.80084,0
1.22829,-0.815268,0
1.24871,-0.829697,0
1.26913,-0.844123,0
1.28955,-0.858548,0
1.30997,-0.872968,0
1.33039,-0.88739,0
1.3508,-0.901822,0
1.37122,-0.916245,0
1.39165,-0.930661,0
1.41207,-0.945081,0
1.4325,-0.959491,0
1.45293,-0.973902,0
1.47337,-0.988303,0
1.49381,-1.0027,0
1.51425,-1.01709,0
1.5347,-1.03147,0
1.55515,-1.04585,0
1.57561,-1.06022,0
1.59607,-1.07458,0
1.61673,-1.08866,0
1.63733,-1.10282,0
1.65798,-1.11691,0
1.67866,-1.13096,0
1.67866,-1.13096,0
0.00807161,-0.004877,0
0.0347989,8.2109e-05,0
0.0593656,-0.00456572,0
0.0833707,-0.011542,0
0.106888,-0.0200229,0
0.129025,-0.031644,0
0.149099,-0.0465426,0
0.169265,-0.0613193,0
0.189444,-0.0760776,0
0.209781,-0.0906222,0
0.230032,-0.105283,0
0.25043,-0.119736,0
0.270773,-0.134265,0
0.291055,-0.148877,0
0.311422,-0.163382,0
0.331753,-0.177924,0
0.352133,-0.192408,0
0.37247,-0.206943,0
0.392795,-0.2215,0
0.41315,-0.236014,0
0.433474,-0.250574,0
0.453817,-0.265103,0
0.474148,-0.279651,0
