x,y,z
0.000170277,-9.14853e-05,0
0.121847,-0.00557763,0
0.266804,-0.0115696,0
0.441073,-0.0233532,0
0.608024,-0.0455774,0
0.742875,-0.0749333,0
0.853224,-0.101657,0
0.000127143,2.55203e-05,0
0.121806,-0.00549014,0
0.266765,-0.0115085,0
0.441036,-0.0233143,0
0.607998,-0.0455483,0
0.742865,-0.0749174,0
0.853224,-0.101657,0
0.000263467,-0.000435935,0
0.121939,-0.00583107,0
0.266895,-0.0117428,0
0.441168,-0.0234588,0
0.608091,-0.0456557,0
0.742902,-0.0749761,0
0.853224,-0.101657,0
0.000533625,0.000250047,0
0.122151,-0.00531293,0
0.267042,-0.0113839,0
0.441234,-0.0232478,0
0.60812,-0.0455234,0
0.742919,-0.0749114,0
0.853224,-0.101657,0
0.00054255,0.000382319,0
0.122155,-0.00521419,0
0.267038,-0.0113158,0
0.441222,-0.0232065,0
0.60811,-0.0454949,0
0.742916,-0.0748964,0
0.853224,-0.101657,0
-0.000246504,0.000361192,0
0.121479,-0.00522901,0
0.266489,-0.0113137,0
0.440812,-0.0231756,0
0.607855,-0.0454396,0
0.742804,-0.0748574,0
0.853224,-0.101657,0
-0.000475043,0.000422906,0
0.121282,-0.00518055,0
0.266325,-0.0112751,0
0.440685,-0.0231417,0
0.607775,-0.0454062,0
0.742769,-0.074837,0
0.853224,-0.101657,0
0.000992348,0.000286807,0
0.122543,-0.00528805,0
0.267359,-0.0113754,0
0.441469,-0.0232613,0
0.608265,-0.0455524,0
0.742983,-0.0749323,0
0.853224,-0.101657,0
0.00084851,-0.000962006,0
0.122475,-0.00618446,0
0.267381,-0.0119591,0
0.441606,-0.0235881,0
0.608383,-0.0457897,0
0.743024,-0.0750622,0
0.853224,-0.101657,0
0.000538522,-0.000376397,0
0.12219,-0.00575235,0
0.26712,-0.0116609,0
0.441365,-0.0233999,0
0.60822,-0.0456442,0
0.742957,-0.0749812,0
0.853224,-0.101657,0
0.000469803,-0.0005025,0
0.122135,-0.00583901,0
0.267083,-0.011714,0
0.441348,-0.0234233,0
0.608214,-0.045658,0
0.742953,-0.0749881,0
0.853224,-0.101657,0
0.000937091,-0.000749862,0
0.122544,-0.00601854,0
0.267428,-0.0118408,0
0.441627,-0.0235133,0
0.608394,-0.0457413,0
0.74303,-0.0750382,0
0.853224,-0.101657,0
0.000762206,-0.00120046,0
0.122409,-0.0063587,0
0.267339,-0.0120754,0
0.441593,-0.0236529,0
0.60838,-0.0458317,0
0.743021,-0.0750835,0
0.853224,-0.101657,0
0.00041465,-0.00022287,0
0.122048,-0.00570132,0
0.266958,-0.0116821,0
0.441175,-0.0234453,0
0.608084,-0.0456395,0
0.742902,-0.0749636,0
0.853224,-0.101657,0
0.000753556,-0.000741411,0
0.122356,-0.00608168,0
0.267234,-0.011944,0
0.441423,-0.0236113,0
0.608249,-0.0457706,0
0.742971,-0.0750376,0
0.853224,-0.101657,0
0.000707715,-0.00107136,0
0.122328,-0.00632764,0
0.267227,-0.0121126,0
0.441442,-0.0237119,0
0.608268,-0.0458393,0
0.742976,-0.0750733,0
0.853224,-0.101657,0
0.00037509,-0.000550586,0
0.122026,-0.00593871,0
0.266956,-0.0118395,0
0.4412,-0.0235334,0
0.608107,-0.0456998,0
0.74291,-0.0749955,0
0.853224,-0.101657,0
0.000490588,-0.000510265,0
0.122123,-0.00591611,0
0.267032,-0.0118313,0
0.441252,-0.023539,0
0.608137,-0.0457084,0
0.742923,-0.075001,0
0.853224,-0.101657,0
0.000560484,-0.000235213,0
0.122191,-0.00567148,0
0.267097,-0.0116284,0
0.441313,-0.0233943,0
0.608179,-0.0456275,0
0.742942,-0.074967,0
0.853224,-0.101657,0
0.00082475,-0.000479012,0
0.122425,-0.0058469,0
0.267301,-0.0117483,0
0.441486,-0.0234714,0
0.608293,-0.0456932,0
0.74299,-0.0750053,0
0.853224,-0.101657,0
0.000501988,-0.000167093,0
0.122138,-0.00562272,0
0.267051,-0.0115955,0
0.441273,-0.0233739,0
0.608153,-0.0456107,0
0.74293,-0.0749572,0
0.853224,-0.101657,0
0.000604029,-1.41558e-05,0
0.122221,-0.00550619,0
0.267111,-0.011515,0
0.441307,-0.0233266,0
0.608172,-0.0455819,0
0.74294,-0.0749434,0
0.853224,-0.101657,0
0.00119655,-0.000679897,0
0.12275,-0.00599994,0
0.267575,-0.0118617,0
0.441706,-0.0235566,0
0.608433,-0.0457687,0
0.74305,-0.0750497,0
0.853224,-0.101657,0
0.000769572,-0.000457769,0
0.12239,-0.00581108,0
0.267288,-0.0117033,0
0.441497,-0.0234324,0
0.608305,-0.045677,0
0.742993,-0.0750015,0
0.853224,-0.101657,0
0.000872463,2.55708e-05,0
0.122463,-0.00545827,0
0.267323,-0.0114678,0
0.441485,-0.0232996,0
0.608286,-0.0455878,0
0.742989,-0.0749552,0
0.853224,-0.101657,0
0.000931703,-0.000389362,0
0.122527,-0.00575732,0
0.267396,-0.0116667,0
0.441574,-0.0234138,0
0.608352,-0.0456709,0
0.743015,-0.0750005,0
0.853224,-0.101657,0
0.00150132,-0.00010614,0
0.123006,-0.00555717,0
0.267771,-0.0115458,0
0.441832,-0.0233706,0
0.608504,-0.0456643,0
0.743083,-0.0750035,0
0.853224,-0.101657,0
0.00105932,-4.33003e-05,0
0.122625,-0.00550307,0
0.267459,-0.0114965,0
0.441594,-0.0233183,0
0.608357,-0.0456091,0
0.743019,-0.0749692,0
0.853224,-0.101657,0
0.000800625,-0.000420496,0
0.122414,-0.0057887,0
0.267302,-0.0116932,0
0.441501,-0.0234308,0
0.608305,-0.0456748,0
0.742994,-0.0749997,0
0.853224,-0.101657,0
0.000941653,-0.000466743,0
0.122536,-0.00582313,0
0.267404,-0.011719,0
0.441581,-0.0234516,0
0.608356,-0.0456954,0
0.743016,-0.0750124,0
0.853224,-0.101657,0
0.000456781,1.97211e-05,0
0.122104,-0.0054583,0
0.267029,-0.011459,0
0.441264,-0.0232742,0
0.608149,-0.0455503,0
0.742929,-0.0749298,0
0.853224,-0.101657,0
0.000117081,-0.000676266,0
0.121837,-0.00597452,0
0.266845,-0.0118072,0
0.441178,-0.0234708,0
0.60811,-0.045674,0
0.742906,-0.074991,0
0.853224,-0.101657,0
0.000436442,-0.000867061,0
0.122116,-0.0061163,0
0.267082,-0.0119091,0
0.44137,-0.023544,0
0.608234,-0.045739,0
0.742959,-0.0750294,0
0.853224,-0.101657,0
0.000584169,-0.000326463,0
0.122213,-0.0057411,0
0.267118,-0.0116784,0
0.441334,-0.0234262,0
0.608194,-0.0456499,0
0.742947,-0.0749786,0
0.853224,-0.101657,0
0.00066296,-6.15171e-05,0
0.122272,-0.00554454,0
0.267153,-0.0115449,0
0.44134,-0.0233489,0
0.608192,-0.0455988,0
0.742949,-0.0749526,0
0.853224,-0.101657,0
0.000716509,-0.000565705,0
0.122334,-0.00591687,0
0.267229,-0.0117993,0
0.441435,-0.0235022,0
0.608262,-0.0457089,0
0.742976,-0.0750116,0
0.853224,-0.101657,0
0.000626337,3.27604e-05,0
0.122237,-0.00547727,0
0.26712,-0.0115004,0
0.441307,-0.023323,0
0.608169,-0.045579,0
0.742939,-0.0749414,0
0.853224,-0.101657,0
0.000120963,-0.000455513,0
0.12182,-0.00583583,0
0.266805,-0.0117354,0
0.441109,-0.0234426,0
0.608056,-0.0456416,0
0.742886,-0.0749685,0
0.853224,-0.101657,0
0.000344462,-0.000553207,0
0.122016,-0.00590797,0
0.26697,-0.0117875,0
0.441242,-0.0234824,0
0.608141,-0.0456802,0
0.742922,-0.0749921,0
0.853224,-0.101657,0
0.00027441,-0.000396913,0
0.121951,-0.00579026,0
0.26691,-0.0117046,0
0.441185,-0.0234285,0
0.608103,-0.0456395,0
0.742907,-0.0749698,0
0.853224,-0.101657,0
0.000773616,-0.000585781,0
0.122385,-0.00593342,0
0.267272,-0.0118123,0
0.44147,-0.0235142,0
0.608284,-0.0457208,0
0.742985,-0.0750189,0
0.853224,-0.101657,0
0.000160064,-0.000642454,0
0.121861,-0.00596608,0
0.266849,-0.0118183,0
0.44116,-0.0234872,0
0.608094,-0.0456761,0
0.742901,-0.0749881,0
0.853224,-0.101657,0
0.000773213,-0.000303989,0
0.122375,-0.00572058,0
0.267251,-0.0116638,0
0.441434,-0.0234217,0
0.608257,-0.0456559,0
0.742975,-0.0749848,0
0.853224,-0.101657,0
0.00101297,-0.000185549,0
0.122587,-0.00562219,0
0.267429,-0.0115887,0
0.441575,-0.0233818,0
0.608345,-0.045648,0
0.743013,-0.0749873,0
0.853224,-0.101657,0
0.00126585,-0.00047816,0
0.122813,-0.00582867,0
0.267629,-0.0117258,0
0.44175,-0.0234645,0
0.608462,-0.0457172,0
0.743063,-0.0750278,0
0.853224,-0.101657,0
0.0039511,-0.000195058,0
0.125104,-0.00562143,0
0.269482,-0.0116265,0
0.443117,-0.0235056,0
0.609308,-0.04586,0
0.743436,-0.0751365,0
0.853224,-0.101657,0
0.0127518,0.00198341,0
0.131573,-0.00783667,0
0.273695,-0.0183774,0
0.445887,-0.0350116,0
0.627266,-0.0650059,0
0.777294,-0.107077,0
0.903087,-0.151793,0
0.0254946,0.00501549,0
0.147881,-0.00763983,0
0.293308,-0.0222722,0
0.468314,-0.0431135,0
0.643947,-0.0748865,0
0.78674,-0.114622,0
0.903087,-0.151793,0
0.0428102,0.00937316,0
0.165056,-0.00704389,0
0.310089,-0.0237437,0
0.484891,-0.0463134,0
0.655441,-0.0781835,0
0.79235,-0.116551,0
0.903087,-0.151793,0
0.0524541,0.0095186,0
0.173647,-0.00744426,0
0.31763,-0.0247845,0
0.49075,-0.0481826,0
0.658622,-0.0800666,0
0.793632,-0.117563,0
0.903087,-0.151793,0
0.0605084,0.00851597,0
0.18155,-0.00855038,0
0.32511,-0.0260611,0
0.497415,-0.049743,0
0.66279,-0.0815646,0
0.79544,-0.118498,0
0.903087,-0.151793,0
0.0739031,0.00995156,0
0.204342,0.00766354,0
0.354406,0.00258116,0
0.581962,-0.0300639,0
0.776264,-0.0944567,0
0.872626,-0.130745,0
0.943372,-0.15549,0
0.0990874,0.0113591,0
0.230786,0.00573343,0
0.386967,-0.00808633,0
0.570572,-0.041416,0
0.722558,-0.086221,0
0.841614,-0.125186,0
0.943372,-0.15549,0
0.104534,0.0111166,0
0.236142,0.00514943,0
0.392007,-0.0100697,0
0.574453,-0.0463731,0
0.722186,-0.0913819,0
0.838507,-0.129128,0
0.938711,-0.157923,0
0.120212,0.013532,0
0.252294,0.00488284,0
0.408495,-0.013771,0
0.590801,-0.0546545,0
0.738395,-0.103972,0
0.854501,-0.145289,0
0.954584,-0.177238,0
0.165874,0.0159426,0
0.293386,-0.00191859,0
0.444579,-0.0282867,0
0.622424,-0.0739347,0
0.770195,-0.130219,0
0.885299,-0.179248,0
0.983212,-0.218229,0
0.192722,0.0209391,0
0.316839,-0.004542,0
0.463421,-0.0370548,0
0.637483,-0.0869103,0
0.792964,-0.150759,0
0.912836,-0.209788,0
1.01232,-0.258871,0
0.218455,0.0340174,0
0.338004,0.00451215,0
0.479028,-0.0311819,0
0.649145,-0.0833896,0
0.809534,-0.151618,0
0.933086,-0.216494,0
1.03475,-0.271825,0
0.248133,0.035333,0
0.361934,0.00367806,0
0.496838,-0.0335307,0
0.661194,-0.0862816,0
0.824943,-0.157332,0
0.951751,-0.226881,0
1.0554,-0.287598,0
0.275395,0.0376997,0
0.389502,0.00304493,0
0.522019,-0.0387082,0
0.681518,-0.0954327,0
0.842844,-0.169706,0
0.968673,-0.243333,0
1.0703,-0.307675,0
0.291221,0.0401682,0
0.407901,0.00467576,0
0.543653,-0.0425289,0
0.703208,-0.105167,0
0.855266,-0.178427,0
0.973886,-0.248184,0
1.0703,-0.307675,0
0.296309,0.0434518,0
0.413818,0.00542347,0
0.550502,-0.0451045,0
0.710623,-0.112002,0
0.866093,-0.189245,0
0.987469,-0.26366,0
1.08512,-0.327809,0
0.318922,0.050133,0
0.432316,0.0106117,0
0.56487,-0.041497,0
0.719708,-0.110191,0
0.872366,-0.189856,0
0.991364,-0.265867,0
1.08683,-0.331439,0
0.3518,0.0519749,0
0.456973,0.00801434,0
0.58097,-0.0470959,0
0.727998,-0.118585,0
0.888767,-0.207728,0
1.0158,-0.294878,0
1.11579,-0.372215,0
0.399861,0.0557992,0
0.539444,-0.00394997,0
